Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
11,a,c,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
32,a,a,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
45,d,a,9710.0,2.0,2014.0,0,,,
52,d,c,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
57,d,c,420.0,6.0,2014.0,0,,,
71,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
87,a,a,560.0,12.0,2010.0,0,,,
89,a,a,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
97,d,c,8980.0,,,0,,,
102,a,a,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
110,a,c,46590.0,4.0,2013.0,0,,,
114,c,a,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
129,a,a,2460.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
193,a,a,520.0,,,0,,,
209,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
211,a,c,350.0,11.0,2006.0,0,,,
219,a,a,1640.0,2.0,2013.0,0,,,
221,d,c,13530.0,9.0,2013.0,0,,,
232,c,c,13570.0,5.0,2010.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
266,a,c,360.0,3.0,2014.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,a,a,2960.0,10.0,2014.0,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
290,a,a,4150.0,5.0,2001.0,0,,,
293,c,c,140.0,11.0,2007.0,0,,,
297,a,a,2300.0,9.0,2010.0,0,,,
307,a,a,18660.0,9.0,2002.0,0,,,
319,a,c,570.0,9.0,2012.0,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
320,a,c,210.0,9.0,2012.0,0,,,
324,a,a,13140.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
333,a,c,3720.0,2.0,2010.0,0,,,
347,d,c,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
