Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
11,5,2015-07-31,10457,1236,1,1,0,1
32,5,2015-07-31,6395,635,1,1,0,0
45,5,2015-07-31,6301,442,1,1,0,1
52,5,2015-07-31,8031,527,1,1,0,0
57,5,2015-07-31,11594,1025,1,1,0,1
71,5,2015-07-31,11545,869,1,1,0,1
87,5,2015-07-31,6379,715,1,1,0,1
89,5,2015-07-31,7295,716,1,1,0,0
97,5,2015-07-31,8380,802,1,1,0,1
102,5,2015-07-31,12602,1414,1,1,0,1
110,5,2015-07-31,6058,745,1,1,0,1
114,5,2015-07-31,5750,620,1,1,0,1
129,5,2015-07-31,10241,1286,1,1,0,0
193,5,2015-07-31,5904,813,1,1,0,1
209,5,2015-07-31,8912,830,1,1,0,1
211,5,2015-07-31,17286,1659,1,1,0,1
219,5,2015-07-31,3511,433,1,1,0,1
221,5,2015-07-31,7750,651,1,1,0,1
232,5,2015-07-31,5738,469,1,1,0,1
266,5,2015-07-31,4779,495,1,1,0,1
275,5,2015-07-31,8573,774,1,1,0,0
276,5,2015-07-31,5272,575,1,1,0,1
290,5,2015-07-31,8386,719,1,1,0,1
293,5,2015-07-31,7494,878,1,1,0,1
297,5,2015-07-31,8481,802,1,1,0,1
307,5,2015-07-31,3419,377,1,1,0,1
319,5,2015-07-31,11280,1079,1,1,0,1
320,5,2015-07-31,19898,2316,1,1,0,1
324,5,2015-07-31,7753,855,1,1,0,1
333,5,2015-07-31,13459,1399,1,1,0,1
347,5,2015-07-31,7512,504,1,1,0,1
355,5,2015-07-31,12766,1304,1,1,0,1
356,5,2015-07-31,9347,602,1,1,0,1
362,5,2015-07-31,11686,1257,1,1,0,1
366,5,2015-07-31,9155,772,1,1,0,1
368,5,2015-07-31,16556,1025,1,1,0,1
372,5,2015-07-31,11470,874,1,1,0,1
381,5,2015-07-31,10760,977,1,1,0,1
382,5,2015-07-31,10802,818,1,1,0,1
399,5,2015-07-31,6917,668,1,1,0,0
429,5,2015-07-31,6999,523,1,1,0,0
436,5,2015-07-31,7465,731,1,1,0,1
452,5,2015-07-31,7541,642,1,1,0,1
468,5,2015-07-31,8281,804,1,1,0,1
478,5,2015-07-31,10068,870,1,1,0,1
495,5,2015-07-31,6995,492,1,1,0,1
526,5,2015-07-31,11006,1434,1,1,0,1
529,5,2015-07-31,11283,913,1,1,0,1
530,5,2015-07-31,9561,1438,1,1,0,1
540,5,2015-07-31,8908,517,1,1,0,0
546,5,2015-07-31,14468,1617,1,1,0,1
582,5,2015-07-31,7463,893,1,1,0,1
594,5,2015-07-31,5288,539,1,1,0,1
595,5,2015-07-31,18690,1899,1,1,0,1
597,5,2015-07-31,6990,873,1,1,0,1
